fid;Kanton;ID_Nr;Latte;Latte-ID;x;y;Dat_Kontrolle;NameMitarbeiter;SampleID;RESULTAT;Male;mtDNAcod;IndividuenID;BioGeoRegions;AltitudeMedian;SettlementProportion;ForestProportion;TypoCH_NUM;TypoCH;OBJEKTART;Distance;Bemerkung
247;NE;560210;B;560210B;560594;210816;10.01.2019;Bardet;WKMIII039_7_31;Dc;DY;Dmt;DcSec_04;Jura;739;0.05;0.11;623;Waldmeister-Buchenwald;Wald;10.20138627;
248;NE;563206;A;563206A;563403;206883;18.02.2019;Hofer;WKMIII172_2_28;Wc;WY;Wmt;Wc36;Jura;541;0.54;0.38;62;Buchenwälder;Wald;134.9409706;
249;NE;563206;A;563206A;563403;206883;18.02.2019;Hofer;WKMIV172_18_26;Dc;F_orUnknown;Dmt;Dc02;Jura;541;0.54;0.38;62;Buchenwälder;Wald;134.9409706;
250;NE;563206;A;563206A;563403;206883;18.03.2019;Hofer;WKMIII321_4_9;Dc;F_orUnknown;Dmt;Dc02;Jura;541;0.54;0.38;62;Buchenwälder;Wald;134.9409706;
251;NE;563206;B;563206B;563148;206818;04.03.2019;Hofer;WKMIII261_8_50;BxW;F_orUnknown;Wmt;BxW02;Jura;541;0.54;0.38;621;Orchideen-Buchenwald;Wald;363.0913237;
252;NE;563206;C;563206C;563111;206384;04.02.2019;Hofer;WKMIII124_5_69;Dc;F_orUnknown;Dmt;DcSec31;Jura;541;0.54;0.38;621;Orchideen-Buchenwald;Wald;127.9204338;
253;NE;563206;C;563206C;563111;206384;18.02.2019;Hofer;WKMIII173_2_30;Dc;DY;Dmt;DcSec_06;Jura;541;0.54;0.38;621;Orchideen-Buchenwald;Wald;127.9204338;
254;NE;563206;C;563206C;563111;206384;18.03.2019;Hofer;WKMIII322_4_10;Dc;DY;Dmt;Dc24;Jura;541;0.54;0.38;621;Orchideen-Buchenwald;Wald;127.9204338;
255;NE;566218;A;566218A;566647;218857;21.03.2019;Sommer G;WKMIII353_4_30;Dc;DY;Dmt;Dc28;Jura;1111;0.05;0.40;624;Zahnwurz-Buchenwald;Wald;53.04478922;
256;NE;530194;A;530194A;530920;194252;10.02.2020;Sommer G;WKMIV630_12_36;Dc;DY;Dmt;Dc21;Jura;1184;0.00;0.33;625;Tannen-Buchenwald;Wald;38.756594;
257;NE;562215;C;562215C;562028;215830;04.01.2020;Vogel C;WKMIV536_10_52;Dc;DY;Dmt;DcSec_05;0;1005;0.02;0.45;624;Zahnwurz-Buchenwald;Wald;41.15188385;
258;NE;562215;C;562215C;562028;215830;16.02.2020;Vogel C;WKMIV660_15_38;Dmt;F_orUnknown;Dmt;;0;1005;0.02;0.45;624;Zahnwurz-Buchenwald;Wald;41.15188385;
259;NE;563216;A;563216A;563088;216342;24.11.2019;Vogel C;WKMIV505_9_37rep;Dc;DY;Dmt;Dc25;0;1036;0.02;0.52;62;Buchenwälder;Wald;61.78338958;
260;NE;563216;C;563216C;563758;216680;28.03.2020;Vogel C;WKMIV844_14_59;Dc;DY;Dmt;Dc26;0;1036;0.02;0.52;62;Buchenwälder;Wald;52.54474654;
261;NE;566210;B;566210B;566717;210759;24.02.2020;Hofer;WKMIV684_15_78;Wc;WY;Wmt;Wc37;Jura;710;0.12;0.61;933;Naturstrasse, Weg;Wald;66.62122265;
262;NE;566210;C;566210C;566285;210649;24.02.2020;Hofer;WKMIV685_16_2;Wc;WY;Wmt;Wc38;Jura;710;0.12;0.61;623;Waldmeister-Buchenwald;Wald;64.02739791;
263;NE;566210;C;566210C;566285;210649;09.03.2020;Hofer;WKMIV737_16_73;Wc;WY;Wmt;Wc38;Jura;710;0.12;0.61;623;Waldmeister-Buchenwald;Wald;64.02739791;
264;NE;569213;B;569213B;569981;213353;25.03.2020;Rehsteiner;WKMIV856_15_1;Dmt;Unclear;Dmt;;0;873;0.01;0.77;623;Waldmeister-Buchenwald;Wald;16.93084895;
265;NE;569213;B;569213B;569981;213353;08.04.2020;Rehsteiner;WKMIV858_15_6;Dc;DY;Dmt;Dc29;0;873;0.01;0.77;623;Waldmeister-Buchenwald;Wald;16.93084895;
266;NE;569213;B;569213B;569981;213353;22.04.2020;Rehsteiner;WKMIV862_15_10;Dc;DY;Dmt;Dc30;0;873;0.01;0.77;623;Waldmeister-Buchenwald;Wald;16.93084895;
267;NE;569213;E;569213E;569840;213216;08.04.2020;Rehsteiner;WKMIV860_15_8;Dc;DY;Dmt;Dc30;0;873;0.01;0.77;623;Waldmeister-Buchenwald;Wald;40.89524592;
268;NE;569214;B;569214B;569424;214547;14.01.2020;Hofer;WKMIV542_10_58;Wc;WY;Wmt;Wc39;Jura;976;0.01;0.74;624;Zahnwurz-Buchenwald;Wald;177.1979876;
269;NE;569214;B;569214B;569424;214547;09.02.2020;Hofer;WKMIV628_17_42;Wc;WY;Wmt;Wc39;Jura;976;0.01;0.74;624;Zahnwurz-Buchenwald;Wald;177.1979876;
270;NE;569214;B;569214B;569424;214547;24.02.2020;Hofer;WKMIV686_16_3;Wc;Unclear;Wmt;Wc06;Jura;976;0.01;0.74;624;Zahnwurz-Buchenwald;Wald;177.1979876;
271;NE;569214;C;569214C;569703;214826;27.01.2020;Hofer;WKMIV579_11_22;Wc;F_orUnknown;Wmt;Wc06;Jura;976;0.01;0.74;624;Zahnwurz-Buchenwald;Wald;162.7406902;
272;SH;683270;B;683270B;683333;270584;06.04.2019;Vogelsanger;WKMIII395_4_69;Dc;DY;Dmt;;Plateau;467;0.03;0.17;623;Waldmeister-Buchenwald;Wald;59.03175191;
273;SH;689286;B;689286B;689638;286351;24.03.2019;Vogelsanger;WKMIII352_6_42;Dc;DY;Dmt;DcSec28;Plateau;493;0.17;0.73;621;Orchideen-Buchenwald;Wald;132.1851974;
274;SH;704282;C;704282C;704848;282096;24.02.2019;Vogelsanger;WKMIII235_6_16;Dc;DY;Dmt;Dc87;Plateau;426;0.09;0.33;62;Buchenwälder;Wald;73.69335193;
275;SH;704282;C;704282C;704848;282096;07.04.2019;Vogelsanger;WKMIII399_6_51;Dc;DY;Dmt;DcSec29;Plateau;426;0.09;0.33;62;Buchenwälder;Wald;73.69335193;
276;SH;677278;A;677278A;677268;278172;26.01.2020;Vogelsanger;WKMIV586_11_32;Dmt;F_orUnknown;Dmt;;Plateau;491;0.00;0.82;62;Buchenwälder;Wald;205.2247022;
277;SO;600253;C;600253C;600905;253438;27.02.2019;Wampfler;WKMIII251_6_24;Dc;F_orUnknown;Dmt;Dc10;Jura;518;0.00;0.70;621;Orchideen-Buchenwald;Wald;380.9066869;
278;SO;605222;C;605222C;605176;222830;16.02.2019;Stï¿½deli;WKMIII171_6_7;Dc;DY;Dmt;;Plateau;525;0.07;0.36;623;Waldmeister-Buchenwald;Wald;266.0860454;
279;SO;614258;A;614258A;614110;258130;30.01.2019;Wampfler;WKMIV108_18_19;Wc;F_orUnknown;Wmt;Wc14;Jura;451;0.09;0.70;62;Buchenwälder;Wald;157.3946091;
280;SO;614258;B;614258B;614520;258445;30.01.2019;Wampfler;WKMIII109_1_44;Wc;F_orUnknown;Wmt;Wc14;Jura;451;0.09;0.70;621;Orchideen-Buchenwald;Wald;73.40059605;
281;SO;614258;B;614258B;614520;258445;13.03.2019;Wampfler;WKMIV301_18_38;Wc;F_orUnknown;Wmt;Wc14;Jura;451;0.09;0.70;621;Orchideen-Buchenwald;Wald;73.40059605;
